ID,COMPONENT,BACKTEST_REFERENCE (nifty dema backtest\project),LIVE SYSTEM (MCX-TRADER),VERDICT,WHERE_THE_DIFFERENCE_IS
F3,Other charges,brokerage 20x2 + exchange 0.0026% + sebi 0.0001% + gst 18% on (brok+exch+sebi) goldm_dema_mtf_futures.py:68-79,same rates; config stamp_duty_pct=0 settings.json:112-129,IDENTICAL,
B1,Warmup data window,LAST5 = exactly 5 trading dates show_15_15_60.py:27+:60,last_trading_days=5 + fetch 14 calendar days extended to guarantee 5 sessions trading_engine.py:1404-1408,:1418-1420,:1442-1446 (+settings warmup 19-25),IDENTICAL NOW (was 7-day gap D3; fixed in config),
B2,Partial 1H bucket (23:00 slot),KEEP-ALL keeps it dema_mtf_base.py:47-70 (reference combo overrides resample),keep_partial=true keeps it candle_fetcher.py:134-140,:204-205 + settings.json:24/:38/:56,IDENTICAL NOW (was dropped D2; fixed in config),
X1,Slippage,none,PaperExecutionEngine adds +1 tick on BUY / -1 on SELL execution/paper_broker.py:156-161 (settings slippage_ticks=1 :108),LIVE-ONLY -> each fill P&L off by +/-1*mult*qty,
X2,Broker latency,none (pure in-memory),100 ms simulated sleep per order execution/paper_broker.py:149-150,LIVE-ONLY (no price effect in bar model),
X3,Pending 50-bar timeout,none,goldm_dema_mtf_futures.py:279-302 has no expiry,pending_timeout_bars=50 base_dema_strategy.py:152-159,LIVE-ONLY (no pending survived 50 bars in audited window),
X4,SL granularity,bar-close only,bar-close + tick-level SL monitoring on every LTP base_dema_strategy.py:541-549 (on_tick),MODE DIFFERENCE (bar replay same; live can exit intra-bar on a tick),
X5,Margin / entry blocking,margin_required = notional x (4% SPAN + 1% ELM + 1.5% exposure)=6.5%; blocked if cash<margin goldm_dema_mtf_futures.py:82-85+:183,linear Dhan model slope*price+intercept per instrument trading_engine.py:840-861; risk check vs per-strategy available margin :893-904 (settings margin_model :39-43/:57-61),DIFFERENT FORMULA live=risk_engine+dhan model; neither blocked a trade in audited window,
X6,Order/broker layer,backtrader internal (no order objects) goldm_dema_mtf_futures.py:139-148,MarketOrder + fill-dedup crash-safe path execution/order_manager.py + paper_broker.py:101-145 + core/fill_dedup.py,INFRA (outcome-equivalent),
X7,Accounting,one cash ledger + margin_blocks goldm_dema_mtf_futures.py:134-137,per-strategy accounts (300k each) + risk caps max open positions portfolio/account.py + settings.json:130-137,INFRA (no signal impact),
X8,Fast-line gate before signals,none (signal NaN guard only dema_mtf.py:176),engine skips on_bar until fast_indicator.initialized trading_engine.py:712,FUNCTION-ORDER NUANCE (first ~6 bars at a truly fresh start; warmup seeds 5 days so only day-1 open band),
X9,Prev-chain seeding at restart,prev h1 values come from the data array from bar 1 dema_mtf.py:174-183,strategy _prev_htf/_prev_fast seeded None -> first processed live bar returns None base_dema_strategy.py:69-73+:144,FUNCTION-ORDER NUANCE (1-bar skip after cold start; parity harnesses replay warmup through on_bar so crossing sets match),
